1,1,1,4
1,1,2,2
1,1,3,3
1,1,4,3
1,1,5,2
1,2,6,3
1,2,7,4
1,2,8,3
1,2,9,2
1,2,10,4
1,3,11,5
1,3,12,2
1,3,13,2
1,3,14,3
1,3,15,3
2,1,1,4
2,1,2,4
2,1,3,1
2,1,4,1
2,1,5,1
2,2,6,2
2,2,7,3
2,2,8,2
2,2,9,1
2,2,10,2
2,3,11,2
2,3,12,2
2,3,13,1
2,3,14,2
2,3,15,5
3,1,1,3
3,1,2,3
3,1,3,3
3,1,4,2
3,1,5,3
3,2,6,3
3,2,7,1
3,2,8,3
3,2,9,2
3,2,10,3
3,3,11,3
3,3,12,3
3,3,13,2
3,3,14,3
3,3,15,3
4,1,1,2
4,1,2,2
4,1,3,3
4,1,4,1
4,1,5,2
4,2,6,2
4,2,7,5
4,2,8,2
4,2,9,3
4,2,10,2
4,3,11,3
4,3,12,3
4,3,13,1
4,3,14,2
4,3,15,4
5,1,1,4
5,1,2,3
5,1,3,4
5,1,4,4
5,1,5,1
5,2,6,2
5,2,7,1
5,2,8,4
5,2,9,2
5,2,10,4
5,3,11,3
5,3,12,1
5,3,13,2
5,3,14,2
5,3,15,5
6,1,1,4
6,1,2,3
6,1,3,3
6,1,4,3
6,1,5,3
6,2,6,2
6,2,7,3
6,2,8,3
6,2,9,3
6,2,10,3
6,3,11,3
6,3,12,3
6,3,13,3
6,3,14,3
6,3,15,5
7,1,1,5
7,1,2,2
7,1,3,2
7,1,4,3
7,1,5,2
7,2,6,2
7,2,7,4
7,2,8,2
7,2,9,1
7,2,10,2
7,3,11,2
7,3,12,3
7,3,13,3
7,3,14,4
7,3,15,5
8,1,1,5
8,1,2,3
8,1,3,4
8,1,4,4
8,1,5,1
8,2,6,1
8,2,7,5
8,2,8,1
8,2,9,2
8,2,10,4
8,3,11,1
8,3,12,2
8,3,13,1
8,3,14,3
8,3,15,5
