473460.000000, 5934250.000000,    -12.561278
473462.453396, 5934250.012206,    -12.658276
473465.115838, 5934250.025452,    -12.628619
473468.272480, 5934250.041157,    -12.726611
473472.323320, 5934250.061310,    -12.811065
473478.483422, 5934250.091957,    -13.036825
473459.998756, 5934250.249997,    -12.570129
473462.452135, 5934250.262203,    -12.546901
473465.114990, 5934250.275451,    -12.635447
473468.273870, 5934250.291167,    -12.713396
473472.320427, 5934250.311299,    -12.762523
473478.482132, 5934250.341954,    -13.037973
473459.998756, 5934250.249997,    -12.570129
473457.572891, 5934250.237928,    -12.405357
473454.994151, 5934250.225098,    -12.359154
473452.011620, 5934250.210260,    -12.269944
473459.997512, 5934250.499994,    -12.601047
473462.450791, 5934250.512199,    -12.597839
473465.114251, 5934250.525450,    -12.650035
473468.275549, 5934250.541178,    -12.653308
473472.319127, 5934250.561295,    -12.810726
473478.480888, 5934250.591951,    -12.903144
473459.997512, 5934250.499994,    -12.601047
473457.570681, 5934250.487920,    -12.461783
473454.992091, 5934250.475091,    -12.374513
473452.008695, 5934250.460248,    -12.207945
473459.996269, 5934250.749991,    -12.548768
473462.449291, 5934250.762195,    -12.619841
473465.113999, 5934250.775452,    -12.665759
473468.276224, 5934250.791185,    -12.785461
473472.318090, 5934250.811293,    -12.823773
473478.481029, 5934250.841955,    -12.943251
473459.996269, 5934250.749991,    -12.548768
473457.567375, 5934250.737907,    -12.495713
473454.990490, 5934250.725086,    -12.388665
473452.005259, 5934250.710234,    -12.340518
473459.995025, 5934250.999988,    -12.585521
473462.448022, 5934251.012192,    -12.625247
473465.114393, 5934251.025457,    -12.714588
473468.282933, 5934251.041221,    -12.771899
473472.320616, 5934251.061309,    -12.828232
473478.483478, 5934251.091970,    -12.892426
473459.995025, 5934250.999988,    -12.585521
473457.563827, 5934250.987892,    -12.513101
473454.983056, 5934250.975052,    -12.448762
473452.002130, 5934250.960222,    -12.317613
473459.993781, 5934251.249985,    -12.574032
473462.446778, 5934251.262188,    -12.627225
473465.113953, 5934251.275458,    -12.668621
473468.286751, 5934251.291243,    -12.755380
473472.321911, 5934251.311319,    -12.692893
473478.491683, 5934251.342014,    -13.012847
473459.993781, 5934251.249985,    -12.574032
473457.561959, 5934251.237886,    -12.518290
473454.973663, 5934251.225009,    -12.420977
473451.999014, 5934251.210210,    -12.296183
473459.992537, 5934251.499981,    -12.612571
473462.445534, 5934251.512185,    -12.590875
473465.114022, 5934251.525461,    -12.712880
473468.291250, 5934251.541269,    -12.779062
473472.322103, 5934251.561323,    -12.859818
473478.490671, 5934251.592012,    -13.049766
473459.992537, 5934251.499981,    -12.612571
473457.560715, 5934251.487883,    -12.481940
473454.967061, 5934251.474979,    -12.475249
473451.993616, 5934251.460186,    -12.317418
473459.991294, 5934251.749978,    -12.574477
473462.444291, 5934251.762182,    -12.539479
473465.113918, 5934251.775464,    -12.719580
473468.293263, 5934251.791282,    -12.879079
473472.323985, 5934251.811335,    -12.789967
473478.489427, 5934251.842009,    -12.954941
473459.991294, 5934251.749978,    -12.574477
473457.559471, 5934251.737880,    -12.430543
473454.960294, 5934251.724948,    -12.492799
473451.985656, 5934251.710149,    -12.422763
473459.990050, 5934251.999975,    -12.494028
473462.443068, 5934252.012179,    -12.618190
473465.114720, 5934252.025471,    -12.693853
473468.294702, 5934252.041292,    -12.709380
473472.323096, 5934252.061334,    -12.797033
473478.483530, 5934252.091983,    -12.860612
473459.990050, 5934251.999975,    -12.494028
473457.559222, 5934251.987882,    -12.504031
473454.953741, 5934251.974919,    -12.475148
473451.970876, 5934251.960079,    -12.269777
473459.988806, 5934252.249972,    -12.495195
473462.442075, 5934252.262177,    -12.700841
473465.117052, 5934252.275486,    -12.667161
473468.295460, 5934252.291299,    -12.878896
473472.321495, 5934252.311329,    -12.717055
473478.474002, 5934252.341938,    -12.962586
473459.988806, 5934252.249972,    -12.495195
473457.558119, 5934252.237879,    -12.584663
473454.949749, 5934252.224902,    -12.446407
473451.952587, 5934252.209991,    -12.462457
473459.987562, 5934252.499969,    -12.586053
473462.440942, 5934252.512175,    -12.532466
473465.122733, 5934252.525517,    -12.722864
473468.295062, 5934252.541300,    -12.782969
473472.316627, 5934252.561308,    -12.726771
473478.462225, 5934252.591883,    -12.962656
473459.987562, 5934252.499969,    -12.586053
473457.556571, 5934252.487875,    -12.417289
473454.945529, 5934252.474884,    -12.492337
473451.941450, 5934252.459939,    -12.380464
473459.986319, 5934252.749966,    -12.514890
473462.440042, 5934252.762174,    -12.575104
473465.125485, 5934252.775534,    -12.784641
473468.293642, 5934252.791296,    -12.788907
473472.312339, 5934252.811289,    -12.772375
473478.448714, 5934252.841819,    -12.939180
473459.986319, 5934252.749966,    -12.514890
473457.553793, 5934252.737864,    -12.466052
473454.944152, 5934252.724881,    -12.544555
473451.930933, 5934252.709889,    -12.400951
473459.985075, 5934252.999963,    -12.614239
473462.439882, 5934253.012176,    -12.581503
473465.126694, 5934253.025543,    -12.725596
473468.291487, 5934253.041288,    -12.750405
473472.311638, 5934253.061289,    -12.764729
473478.447274, 5934253.091815,    -12.973625
473459.985075, 5934252.999963,    -12.614239
473457.551063, 5934252.987853,    -12.474519
473454.942909, 5934252.974877,    -12.479438
473451.918294, 5934252.959830,    -12.381400
473459.983831, 5934253.249960,    -12.589136
473462.441165, 5934253.262185,    -12.573603
473465.129758, 5934253.275561,    -12.707486
473468.289386, 5934253.291281,    -12.790605
473472.316253, 5934253.311315,    -12.752892
473478.461941, 5934253.341891,    -12.825205
473459.983831, 5934253.249960,    -12.589136
